Name of Facebook Group,Group URL,Number of followers (nearest 1000)
New England DNA /Gedmatch Project,"http://www.facebook.com/groups/380247892716040
",0.0
New England Genealogy Ancestors and Me,"http://www.facebook.com/groups/newenglandgenealogyancestorsandme
",1100.0
New England Family Genealogy and History,"http://www.facebook.com/groups/HistoryGenNEFamilies
",12000.0
New England Genealogy,"http://www.facebook.com/groups/2474151226
",9800.0
"Milford, Ct. History & Vintage Images","http://www.facebook.com/groups/1756082041308182
",11400.0
You know you're from Orange CT when,"http://www.facebook.com/groups/230532866983911
",3100.0
NEW HAVEN County Connecticut Genealogy,"http://www.facebook.com/groups/1576903152561893
",0.0
"You are probably from Stonington,Conn. if you can remember","http://www.facebook.com/groups/151434591602211
",1300.0
Early NEW LONDON County Genealogy,"http://www.facebook.com/groups/894248043981316
",0.0
New Netherland 1609-1674 Colonial Dutch Settlement Genealogy Group,"http://www.facebook.com/groups/NewNetherlandDutch
",2500.0
New Netherland Settlers,"http://www.facebook.com/groups/NewNetherlandSettlers
",1000.0
NORTHEAST COOL GENEALOGY GROUPS,"http://www.facebook.com/groups/112731995739140
",0.0
Early STONINGTON Genealogy,"http://www.facebook.com/groups/807437419371374
",0.0
Then and Now Location Photos,"http://www.facebook.com/groups/451987121670270
",11200.0
Ukrainians Of New England |  Українці Із Нової Англії,"http://www.facebook.com/groups/neukrainians
",1800.0
WINDHAM County Connecticut Genealogy,"http://www.facebook.com/groups/1416962218627166
",0.0
Delaware Genealogical Society,"http://www.facebook.com/groups/273380282709181
",0.0
Delaware Genealogy! Just Ask!,"http://www.facebook.com/groups/DelawareGenealogyJustAsk
",0.0
Delaware Genealogy Network,"http://www.facebook.com/groups/210161959025636
",0.0
Delaware Genealogy,"http://www.facebook.com/groups/48084356266
",1900.0
New Netherland 1609-1674 Colonial Dutch Settlement Genealogy Group,"http://www.facebook.com/groups/NewNetherlandDutch
",2500.0
New Netherland Settlers,"http://www.facebook.com/groups/NewNetherlandSettlers
",1000.0
Wiregrass Genealogy High Bluff High Falls Oak Grove  Wesley Chapel St Paul,"http://www.facebook.com/groups/229632534079712
",1500.0
Eau Gallie  Remembering when,"http://www.facebook.com/groups/648514631880699
",7700.0
GROWING UP IN MERRITT ISLAND FLA.....,"http://www.facebook.com/groups/130071853677234
",9800.0
Genealogical Society of South Brevard,"http://www.facebook.com/groups/48948219725
",0.0
Calhoun County Florida Genealogy,"http://www.facebook.com/groups/492531570818735
",0.0
Clay County Florida Genealogy and Graveyards,"http://www.facebook.com/groups/516754841695785
",0.0
DNA Tested African Descendants In the Gullah Geechee Corridor,"http://www.facebook.com/groups/Gullah.Geechee.DNA
",1000.0
Duval County Florida Genealogy and Graveyards,"http://www.facebook.com/groups/481522278582642
",0.0
"Duval County, Jacksonville, Florida Genealogy","http://www.facebook.com/groups/133243257160976
",0.0
Alger-Sullivan Historical Society,"http://www.facebook.com/groups/algersullivan
",0.0
Panhandle Pioneers,"http://www.facebook.com/groups/85830623830
",0.0
Wiregrass Genealogy High Bluff High Falls Oak Grove  Wesley Chapel St Paul,"http://www.facebook.com/groups/229632534079712
",1500.0
Florida Genealogy! Just Ask!,"http://www.facebook.com/groups/FloridaGenealogyJustAsk
",0.0
Florida Genealogy Network,"http://www.facebook.com/groups/208192675888750
",1800.0
Florida History with Bill Watts,"http://www.facebook.com/groups/459442727420102
",15100.0
Florida State Genealogical Society Pioneer Descendants,"http://www.facebook.com/groups/FSGSPioneers
",1800.0
Florida State Genealogical Society (FSGS),"http://www.facebook.com/groups/FLSGS
",1800.0
"Georgia, Alabama and Florida Genealogy","http://www.facebook.com/groups/254718667932285
",4300.0
Friends of NWFL Genealogy,"http://www.facebook.com/groups/nwflgenealogy
",0.0
Tampa Genealogy,"http://www.facebook.com/groups/303804203109591
",0.0
Historic Florida!,"http://www.facebook.com/groups/DA.FLA.OLD.SKOOL
",8200.0
History of Florida Pre-1900s,"http://www.facebook.com/groups/543915515660332
",12600.0
Wiregrass Genealogy High Bluff High Falls Oak Grove  Wesley Chapel St Paul,"http://www.facebook.com/groups/229632534079712
",1500.0
Friends of Vero Beach Family History Center,"http://www.facebook.com/groups/159642411143167
",0.0
Indian River Genealogical Society,"http://www.facebook.com/groups/50954243165
",0.0
Friends of Vero Beach Family History Center,"http://www.facebook.com/groups/159642411143167
",0.0
Wiregrass Genealogy High Bluff High Falls Oak Grove  Wesley Chapel St Paul,"http://www.facebook.com/groups/229632534079712
",1500.0
Jackson County Florida Genealogy,"http://www.facebook.com/groups/284428328262302
",0.0
"Historic Lake County, Florida","http://www.facebook.com/groups/HLCFL
",8700.0
Wiregrass Genealogy High Bluff High Falls Oak Grove  Wesley Chapel St Paul,"http://www.facebook.com/groups/229632534079712
",1500.0
Elmer's Genealogy Corner,"http://www.facebook.com/groups/elmerspear
",1300.0
Our North Central Florida Pioneers,"http://www.facebook.com/groups/NCentralFlPioneers
",1200.0
"Georgia, Alabama and Florida Genealogy","http://www.facebook.com/groups/254718667932285
",4300.0
"Historic Maitland, Florida","http://www.facebook.com/groups/Historic.Maitland
",1600.0
Historic Orlando II,"http://www.facebook.com/groups/Historic.Orlando.II
",4800.0
HISTORIC ORLANDO - The Original,"http://www.facebook.com/groups/Historic.Orlando.III
",14800.0
Historic Orlando (In COLOR!),"http://www.facebook.com/groups/Historic.Orlando.InColor
",1200.0
Orlando Today,"http://www.facebook.com/groups/Orlando.Today
",1400.0
"If you grew up in Orlando, FL....then you remember","http://www.facebook.com/groups/231956973509801
",58700.0
Historic Winter Park,"http://www.facebook.com/groups/Historic.Winter.Park.FL
",5000.0
Historic Palm Beach County!,"http://www.facebook.com/groups/DA.561.OLDSKOOL
",2600.0
West Pasco County Genealogical Society,"http://www.facebook.com/groups/129793314409
",0.0
Pasco County Genealogy,"http://www.facebook.com/groups/398135570327193
",0.0
Province of Carolina History & Genealogy,"http://www.facebook.com/groups/125880981908
",0.0
